Slanost,Temp_zraka,Temp_vode,Crijevni_enterokoki,Escherichia_coli,Suncevo_zracenje_DHMZ GHI,Padaline,KPad0h-24h,KPad25h-48h,KPad49h-72h,KPad3d-4d,KPad4d-7d,KPad7d-14d,KPad14d-30d,AirTemp,AlbedoDaily,Azimuth,CloudOpacity,DewpointTemp,Dhi,Dni,Ebh,Ghi,GtiFixedTilt,GtiTracking,PrecipitableWater,RelativeHumidity,SurfacePressure,WindDirection10m,WindSpeed10m,Zenith,KPad3d-6d,KPad6d-10d,KPad10d-17d,Kpad17d-21d,Padaline_1d_poslije 
30.1,20,18.2,20,130,597.67,0,0.7,1.3,2.1,65,34.3,39.4,82.8,20.1196927,0.11,-112.1421458,8.644552372,7.810020266,262.6956896,589.0228954,497.2249508,748.7429065,739.0441874,844.7554725,21.81721971,46.52488034,978.0685069,31.51010765,6.252144771,26.49171345,99.3,39.4,0,83,0
37.3,25,23.6,0,0,516.67,0,0,0,14.4,6.8,3.3,6,49,21.3,0.11,-135.324737,6.017260488,12.5534387,180.1714659,625,437,623,680,794.2650881,24.91426864,58.6,975.4636791,242,2.3,46.47806798,10.1,0,6,49,0
37.4,17.5,19.3,0,13,532.35,0,6.5,0.5,31.9,0,0,0,30.5,14.83796417,0.11,-125.8314518,10.59460989,5.8238858,196.5948555,559.9702244,391.8189588,609.9257228,707.8623256,732.8441792,13.81528868,57.35244897,972.4062938,342.7316502,3.877234971,49.67833031,0,0,14.4,55.9,0
36.8,20,18.9,0,9,464.27,0,0.1,0,0,2.1,38.3,11.6,31.9,17.46910117,0.11,-130.8519349,1.151621799,11.7380652,101.1736204,782.1543333,497.2249508,598.8848347,722.2269395,777.2040577,23.38595788,69.56990502,983.0094433,41.86370075,3.390310995,54.03695961,32.9,12.1,38.9,24.5,0
36.6,22,15.5,1,5,671.93,0,0,0,0,31,2.8,0.3,4.3,19.56520831,0.12,-117.3371042,1.151621799,11.7380652,149.9371038,789.2884761,630.4099509,780.4836363,817.9948236,917.7125209,20.21424024,57.55879314,979.1299368,65.95495512,1.693507968,42.47904405,33.8,0,0.3,4.3,0
36.5,29.3,23.5,30,12,662.73,0,0,0,0,0,0.2,2.6,7.6,26.61165851,0.11,-111.6330766,1.151621799,15.92712306,122.199765,808.8481718,659.3214602,777.9770278,786.6326626,901.4490523,27.94517899,53.19136999,976.999077,64.14104271,3.137513615,42.47904405,0,2.7,0.1,19.8,0
33.9,22.8,22.3,58,38,656.06,0,0,21.5,41.3,6.3,31.6,0.7,2.8,19.0294051,0.11,-114.2323248,5.12382945,10.06908631,258.8847684,561.3994619,441.9776396,701.5355091,714.8692028,811.0426412,24.1775663,55.01466377,972.4062938,60.48952527,2.3,39.39019768,26.4,12.2,0,2.8,0
37.2,20.2,23,8,5,713.89,0,0,0,1.9,0,0.3,29.5,101.4,19.93704358,0.11,-132.9647182,1.151621799,8.6,98,866,699,797,894,887,18.77345124,46.60512768,981.9,78,0.364831708,36.44723609,0,1.6,28.6,101.4,0
36.2,28.7,24.4,40,140,529.3,0,0,0,0,0,0,1.9,51.3,29.04987606,0.11,-122.2055334,1.151621799,19.58150194,126.0731101,755.4743633,535.784974,662.006891,759.7005418,829.8135882,26.38272161,57.06251448,978.8,75.353441,1.439912408,41.32466653,0,0,1.9,117.9,0
37.5,18,15.9,0,5,647.56,0,0,0.6,19.2,0,0,54.6,35.9,13.88142514,0.12,-118.6019733,1.151621799,3.981096586,109.4213572,871.0678842,695.8367805,805.2245609,858.2384289,943.8716267,14.26453326,51.32531727,971.4312272,15.98679753,2.758262508,39.39019768,0,54.6,0,40.1,4.5
37.2,23.2,16.1,6,1,619.56,0,2.3,0,0,0,16.6,26.7,73.8,18.55738892,0.11,-135.8282555,14.48758002,11.4,229.6602895,575.0436722,348.7018805,701.7534617,706.0261238,787.5885405,19.42760614,63.65727024,972.8624526,378.0440712,2.017788884,33.41588728,1.8,25.9,34.8,54.7,2.6
32.4,20,18,70,20,471.94,0,2.3,0,0,0,16.6,26.7,73.8,21.94114217,0.11,93.95457685,29.18074879,10.94791944,488.275095,88.57483732,79.8503648,568.1254598,534.5702799,570.4189053,20.26612136,49.8010103,972.6855817,349.5700807,2.425447634,26.48600378,1.8,25.9,34.8,54.7,2.6
36.98,24,19,28,45,250.38,0,2.6,2.3,0,0,1.8,40.9,74.4,23.96806067,0.12,93.95457685,53.26953791,12.12682251,409.9903597,0,0,421.1253052,383.1164467,422.195747,20.21424024,46.60512768,977.2236992,246.9914232,0.868020526,26.48600378,0.8,26.9,15.6,73.8,0
30.65,24,19,24,9,765.45,0,0,2.6,2.3,0,0.8,41.9,74.4,22.17147557,0.12,93.95457685,27.6163629,15.18401931,379.7377078,274.3598162,246.6377237,625.7052833,616.8190365,642.0778364,24.63914443,62.35315424,978.5031671,250.1181385,1.334342467,26.48600378,0,23.8,18.9,74.4,0
30.18,21,19,234,290,141.4,0,0,0,2.6,2.3,0,41.7,75.4,21.41548657,0.12,93.95457685,74.30233584,15.97088893,216.5926309,0,0,216.5926309,195.6329814,216.5926309,29.00300032,71.95887768,974.410489,217.9070196,2.694019614,23.41089532,2.3,16.6,26.1,74.4,1.3
35.81,22,20,6,0,443.73,0.1,1.2,0,0,2.6,2.3,27.7,89.4,20.09425205,0.12,93.95457685,46.51854218,15.72860387,460.5413241,0,0,460.5926036,416.8547939,460.6141356,25.72110232,76.00570898,976.4100438,212.756425,3.668093363,23.41089532,4.9,0.8,26.9,89.4,0.4
25.7,25,21,10,50,419.86,0,0.5,1.2,0,0,4.9,27.7,89.4,21.98693758,0.12,-163,67.96407754,15.20115248,323.4576854,0,0,285.6318988,258.644416,286.9472075,28.75747158,63.20893637,975.5770169,219.6787403,4.776157037,23.41089532,4.9,0.8,26.9,89.4,0
35.46,23.5,21,7,0,496.53,0,0,0.5,1.2,0,4.9,27.7,89.4,21.94114217,0.12,93.95457685,52.57262346,10.94791944,426.6594049,0,0,420.5062091,379.3183742,419.8355385,24.21217873,49.8010103,969.6401987,224.9616686,3.137513615,23.41089532,0,4.9,27.7,89.4,1.1
36.79,23,20.3,2,8,777.27,0,1.1,0,0.5,1.2,2.6,30,88.9,18.55738892,0.12,-132.5470858,1.151621799,10.88557817,101.1736204,873.2350636,785.8544425,896.6296739,936.7527436,926.1856516,19.04472093,57.06251448,972.6523418,44.45255441,2.017788884,26.49171345,1.2,4.9,27.7,89.4,0
36.99,24,19,15,5,813.89,0,0,1.1,0,0.5,1.2,28.7,40.7,20.4,0.12,-163,17.5,10.23926118,403,381,348,751,753,757,22.84427424,51.5,974.9,186,2.3,23.41089532,1.7,4.9,27.7,89.4,0
35.31,23,21,29,2,848.48,0,0,0,1.1,0,1.7,21.5,45.9,23.55891706,0.12,93.95457685,37.35449528,14.18520541,417.6376684,153.4345271,141.583696,559.5694198,537.1146027,559.4255158,27.68877616,57.33414716,973.594134,226.193827,3.679964518,23.41089532,1.7,2.6,18.9,100,0
32.68,25.5,21,1110,1300,669.57,0,0,0,0,1.1,1.7,6.7,60.7,24.36904633,0.11,-181.4040656,3.141200492,14.40430187,276.5374795,574.2606672,524.3863634,800.0520642,817.1502449,812.1676783,29.31681305,53.97526155,973.8184421,210.9380427,3.959187024,23.41089532,1.6,3.8,18.9,100,2.1
35.59,23,20,780,405,272.14,0,2.1,0,0,0,1.6,6.9,61.7,23.55891706,0.12,-181.4040656,74.29345843,17.04162083,129.5999873,0,0,129.822353,117.7675726,129.9064615,30.17984222,70.25327896,973.9644927,179.8377016,3.137513615,23.41089532,1.1,1.7,6.7,62.7,1.2
29.77,24,21,80,30,658.77,0,1.2,2.1,0,0,1.1,6.6,62.5,22.27814604,0.12,93.95457685,30.31299315,14.40430187,459.1148292,199.3810072,184.8037245,605.9246808,619.0851573,642.0778364,20.04875102,62.37414143,970.7351181,217.8956571,4.358185532,22.56475555,1.1,1.7,5.7,61.7,17.5
35.1,21,21,250,70,208.73,2.15,16.8,1.2,2.1,0,1.1,6.6,62.5,19.6,0.11,-181.4040656,72.51942318,15.57235807,242.3589173,0,0,245.9159253,220.5702071,245.7783685,25.53860977,78.13028363,967.0353796,214.5085145,3.679964518,22.56475555,0,2.8,4.9,62.5,11.5
34.8,19.5,20.2,94,150,482.5,0,29.4,12.2,16.8,1.2,2.1,7.7,42.7,18.55738892,0.11,-119.5957618,2.850155516,13.38434346,163.9797963,749.6565566,625.3079526,801.4423545,803.1073399,908.9957405,20.59905404,72.06986006,971.5413226,257.7147183,0.868020526,26.49171345,3.3,1.1,6.6,62.5,1
37.13,28,24,260,18,838.89,0,2.2,0,0,0,0,59.5,11,22.69281433,0.12,-117.8867804,2.7,12.30452929,187,743,683,870,899,881.9494803,29.31681305,53.4,978.8,51.58409597,3.263653639,22.56475555,0,0,60.7,10.6,0
37,24,23.3,7,1,649.41,0,0,2.2,0,0,0,42.7,27.8,22.27814604,0.11,-111.9659765,1.151621799,12.08607028,136.1681208,785.3485344,632.3111666,769.6367213,760.0689472,917.9856582,25.89283087,50.37463872,981.2849966,67.56519128,1.969068388,38.52183916,0,0,59.5,11,0
36.77,29,24,25,1,805.33,0,0,2.2,0,0,0,42.7,27.8,25.84080906,0.11,146.256793,1.151621799,12.79162141,128.5891157,848.9635545,783.9447606,912.9122241,949.7736611,917.7125209,25.02568647,44.31666711,980.1586671,173.5214793,0.364831708,22.56475555,0,0,59.5,11,0
36.09,31,25,130,110,878.02,0,0,0,2.2,0,0,30.5,37.7,28.63919839,0.11,146.256793,1.151621799,13.35294521,180.5435876,841.3398957,776.5471793,903.5702906,940.1478069,909.7107065,26.2844815,39.0323807,975.9240452,212.756425,2.758262508,22.56475555,0,0,42.7,27.8,0
